Topic headings,Future of Tackling Inactivity 
Tackling inactivity,Language (reframing certain messages) used within engagement of people
,Time - flexibility to work and try things (improved longevity) 
,Wellbeing' and a different message - not sports
,Simplicity
,New relationships with 'different' groups - shared values
,Leadership - alignment of leaders
,Balance between working with just the individual and not the wider public
,"Inactivity not one solution, need hyper local efforts but then how do we reach population level change"
,Don’t make things too complex - use of jargon and language
,Training needed for current workforce around community asset approach
,Need to allow more time - less pressure on achieving KPIs
,Value of time to see things through - not short terms with programmes
,How do we work to / around funding cycles
,Systems approach sounds interesting from a small local authority perspective - use of wellbeing as thread
,Worth - giving worth back through people and place through seeking to understand
,Relationships - connection and shared understanding
,Community needs learning reflective outcomes - rather than figures
,Relationship - shared values - wellbeing thread
,"Local auth training - for staff, external such as SE officer courses"
,Its complex
,It takes time
,people still want silver bullets 
,approaches need to be home grown 
,What does success look like? How is it measured? Share success? How do other areas populate ideas without funding? Ensure Au SE contracts are more outcome based
Themes,Give this the time it needs and deserves to get right - this is difficult
,There is no simple answer
,Encourage more shared learning and stories
,Listen and enable community created solutions
,Don’t allow the system to go full circle - stop counting things
,Don’t just listen to the loudest voices!
,Don’t start with a deficit narrative 
,Encourage places to look outside and at other places
,Innovative leadership backed up with permissive culture
,Increased collaboration 
,Place based - get a deeper understanding - build from assets and strengths 
,Innovative in how we engage with communities - no more surveys
,Do with not to - community at the heart
,P.A could be the bi-product - consideration given to wider determinants on health 
Our findings,"System - wider system, understand, influence (e.g. health) "
,"Lens - look out, look at us"
,Wider Determinants - wellbeing / happiness 
,"People at the heart - more human, trust/relationships, sport/not sport"
,"Communities - listening, real engagement, empowerment and co-production"
,Build on existing assets and strengths - capacity 
Listening and engagement ,Wider determinants
,PA can be a bi-product
,Inclusive engagement 
,Trust
,People and communities
,"Communication - listen to understand, keep learning "
,Life events and individuals journeys 
,Communities
,Real engagement - influence and change system
,Empathy gap 
,Community
,Listen 
,Social connection / empathy gap
,Creative co-design 
Strengths based,People doing things for themselves
,Community assets
,Build capacity 
,Remove barriers
,Values of individuals
,Experts in field (don’t forget sport and PA) 
,Physical / people asses
,Asset based
,People and place
,Social movement 
,Health professionals important 
Other,Stopping / protecting / supporting against regressing back to counting didgits
,Senior leadership working through organisation influence
,Senior leadership need to be empowered to make the important decisions
,"Policy and Senior leadership buy in to empower doers! Speak to and understand our communities listen to need, listen and empower them "
,Meaningful collaboration is key 
,Influence of other agendas
,"System change takes time. How do we influence agendas, make things more collaboratively and joined up, Jahans window open up peoples knowledge of what they joing know, be brave about innovation"
,Do with - not to but also need to encourage to alter (?)
,"Working together - partnerships, not competing for some people "
,"Answer not simple, ensure end user community have input. Sustainable and motivational "
,"In an area properly understanding the system and its connections. Time spent to map and qualitatively understand peoples ability to be physically active. Shape behaviour to enable everyone to be active, remove the blockers. 'Collaboration of the willing' "
,No simple answer
,Different approaches
,Community led
,Needs to be sustainable / motivational
,Not one solution to the problem 
,Community needs to be involved in the decision making 
,"Isn't a simple answer, lots of different ways to do things, involve the communities in developing things that they buy into and what to keep going "
,Permission and innovation
,Tackle the wider determents of health 
,Bounce off each other helping each other sense of team 
,Understanding the system in a localised area
,Understand what is unique to an area and work with that
,"Geographic - understand system and each area, history and working of system, how system impacts on the people and shapes behaviour "
,Do with - not to collaboration approach physical activity - and end outcome - can be through alternative way. Don’t chase numbers
,Wider determinants of activity…and activity as a bi-product
,"What are other benefits, PA can be a bi-product "
,Takes time for system change 
,Understand the system in an area
,"Geographical, understanding the system, connecting/history of the connections, preventing activity (systems) "
,Change takes time
,"Parts of the system prevent people being active (i.e. health, housing, jobs, travel) "
,Whole system challenge - how? Influence?
,Be outcome focused
,"Do with, not to. Partnership approach, collaborative "
,No. of organisations in areas working towards same goals - should work together
,"Whole system change all have same motivation to improve health and wellbeing. Influence internal and external, bounce ideas off others to find what will work for them and us"
,Empower people - employees and communities 
,Help communities explore potential and new things
,"Do with, not to. Partnerships to shape the collaborative effort intended with determinants of health. Innovation to use what we know in a different way. Understand how to stop doing what we've always done. Make sure offer is on the communities team "
,"Do with and not to - partnerships approach Organisation working together without restriction - system change, partnership working"
